4,2,8,11,15
4,7,9,12,15
4,7,8,11,15
4,3,8,11,15
4,3,2,8,11,15
4,7,9,12,22,15
4,7,9,12,21,15
4,7,9,13,17,15
4,7,9,12,17,15
4,3,5,10,14,15
4,7,5,10,14,15
4,2,8,10,14,15
4,7,8,10,14,15
4,3,8,10,14,15
4,2,5,10,14,15
4,3,8,9,12,15
4,7,8,9,12,15
4,2,8,9,12,15
4,3,7,9,12,15
4,2,8,11,12,15
4,7,8,11,12,15
4,3,8,11,12,15
4,7,9,13,12,15
4,2,7,9,12,15
4,7,9,8,11,15
4,3,7,8,11,15
4,2,7,8,11,15
4,3,5,8,11,15
4,7,5,8,11,15
4,2,5,8,11,15
4,7,3,8,11,15
4,2,3,8,11,15
4,7,2,8,11,15
4,2,5,10,11,15
4,3,8,10,11,15
4,7,8,10,11,15
4,2,8,10,11,15
4,7,5,10,11,15
4,3,5,10,11,15
4,7,9,12,11,15
4,7,3,2,5,10,11,12,21,15
4,3,8,2,5,10,11,12,21,15
4,7,8,2,5,10,11,12,21,15
4,3,7,2,5,10,11,12,21,15
4,7,2,3,5,10,11,12,21,15
4,7,8,3,5,10,11,12,21,15
4,2,8,3,5,10,11,12,21,15
4,2,7,3,5,10,11,12,21,15
4,3,2,7,5,10,11,12,21,15
4,3,8,7,5,10,11,12,21,15
4,2,8,7,5,10,11,12,21,15
4,2,3,7,5,10,11,12,21,15
4,3,2,8,5,10,11,12,21,15
4,7,9,8,5,10,11,12,21,15
4,3,7,8,5,10,11,12,21,15
4,2,7,8,5,10,11,12,21,15
4,7,3,8,5,10,11,12,21,15
4,2,3,8,5,10,11,12,21,15
4,7,2,8,5,10,11,12,21,15
4,3,5,1,2,8,11,12,21,15
4,3,5,2,8,7,9,12,21,15
4,2,5,3,8,7,9,12,21,15
4,2,1,5,8,7,9,12,21,15
4,2,3,5,8,7,9,12,21,15
4,3,2,5,8,7,9,12,21,15
4,2,5,10,8,7,9,12,21,15
4,3,5,10,8,7,9,12,21,15
4,3,2,1,5,7,9,12,21,15
4,3,8,2,5,7,9,12,21,15
4,2,8,3,5,7,9,12,21,15
4,3,2,8,5,7,9,12,21,15
4,2,3,8,5,7,9,12,21,15
4,3,8,10,5,7,9,12,21,15
4,2,8,10,5,7,9,12,21,15
4,2,1,0,5,7,9,12,21,15
4,2,1,5,3,7,9,12,21,15
4,2,8,5,3,7,9,12,21,15
4,2,5,8,3,7,9,12,21,15
4,3,8,5,2,7,9,12,21,15
4,3,5,8,2,7,9,12,21,15
4,3,5,1,2,8,9,12,21,15
4,2,5,10,11,8,9,12,21,15
4,7,5,10,11,8,9,12,21,15
4,3,5,10,11,8,9,12,21,15
4,3,7,5,10,8,9,12,21,15
4,2,7,5,10,8,9,12,21,15
4,7,3,5,10,8,9,12,21,15
4,2,3,5,10,8,9,12,21,15
4,7,2,5,10,8,9,12,21,15
4,3,2,5,10,8,9,12,21,15
4,2,1,5,10,8,9,12,21,15
4,3,5,2,7,8,9,12,21,15
4,2,5,3,7,8,9,12,21,15
4,2,1,5,7,8,9,12,21,15
4,2,3,5,7,8,9,12,21,15
4,3,2,5,7,8,9,12,21,15
4,3,2,1,5,8,9,12,21,15
4,7,2,1,5,8,9,12,21,15
4,7,3,2,5,8,9,12,21,15
4,3,7,2,5,8,9,12,21,15
4,7,2,3,5,8,9,12,21,15
4,2,7,3,5,8,9,12,21,15
4,3,2,7,5,8,9,12,21,15
4,2,3,7,5,8,9,12,21,15
4,2,1,0,5,8,9,12,21,15
4,7,5,2,3,8,9,12,21,15
4,2,1,5,3,8,9,12,21,15
4,2,7,5,3,8,9,12,21,15
4,7,2,5,3,8,9,12,21,15
4,2,5,7,3,8,9,12,21,15
4,7,5,1,2,8,9,12,21,15
4,7,5,3,2,8,9,12,21,15
4,3,7,5,2,8,9,12,21,15
4,7,3,5,2,8,9,12,21,15
4,3,5,7,2,8,9,12,21,15
4,3,8,2,7,9,12,17,21,15
4,2,7,9,12,22,23,17,21,15
4,3,8,9,12,22,23,17,21,15
4,7,8,9,12,22,23,17,21,15
4,2,8,9,12,22,23,17,21,15
4,3,7,9,12,22,23,17,21,15
4,2,8,11,12,22,23,17,21,15
4,7,8,11,12,22,23,17,21,15
4,3,8,11,12,22,23,17,21,15
4,7,9,13,12,22,23,17,21,15
4,3,8,9,13,12,22,17,21,15
4,7,8,9,13,12,22,17,21,15
4,2,8,9,13,12,22,17,21,15
4,3,7,9,13,12,22,17,21,15
4,2,7,9,13,12,22,17,21,15
4,7,9,8,11,12,22,17,21,15
4,3,7,8,11,12,22,17,21,15
4,2,7,8,11,12,22,17,21,15
4,3,5,8,11,12,22,17,21,15
4,7,5,8,11,12,22,17,21,15
4,2,5,8,11,12,22,17,21,15
4,7,3,8,11,12,22,17,21,15
4,2,3,8,11,12,22,17,21,15
4,7,2,8,11,12,22,17,21,15
4,2,5,10,11,12,22,17,21,15
4,3,8,10,11,12,22,17,21,15
4,7,8,10,11,12,22,17,21,15
4,2,8,10,11,12,22,17,21,15
4,7,5,10,11,12,22,17,21,15
4,3,5,10,11,12,22,17,21,15
4,3,2,8,11,12,22,17,21,15
4,3,8,7,9,12,22,17,21,15
4,2,8,7,9,12,22,17,21,15
4,3,5,7,9,12,22,17,21,15
4,2,5,7,9,12,22,17,21,15
4,2,3,7,9,12,22,17,21,15
4,3,2,8,9,12,22,17,21,15
4,3,7,8,9,12,22,17,21,15
4,2,7,8,9,12,22,17,21,15
4,3,5,8,9,12,22,17,21,15
4,7,5,8,9,12,22,17,21,15
4,2,5,8,9,12,22,17,21,15
4,7,3,8,9,12,22,17,21,15
4,2,3,8,9,12,22,17,21,15
4,7,2,8,9,12,22,17,21,15
4,3,2,7,9,12,22,17,21,15
4,2,8,11,12,9,13,17,21,15
4,7,8,11,12,9,13,17,21,15
4,3,8,11,12,9,13,17,21,15
4,3,7,2,8,9,13,17,21,15
4,3,5,2,8,9,13,17,21,15
4,7,5,2,8,9,13,17,21,15
4,7,2,3,8,9,13,17,21,15
4,2,7,3,8,9,13,17,21,15
4,7,5,3,8,9,13,17,21,15
4,2,5,3,8,9,13,17,21,15
4,2,1,5,8,9,13,17,21,15
4,3,7,5,8,9,13,17,21,15
4,2,7,5,8,9,13,17,21,15
4,7,3,5,8,9,13,17,21,15
4,2,3,5,8,9,13,17,21,15
4,7,2,5,8,9,13,17,21,15
4,3,2,5,8,9,13,17,21,15
4,3,2,7,8,9,13,17,21,15
4,3,5,7,8,9,13,17,21,15
4,2,5,7,8,9,13,17,21,15
4,2,3,7,8,9,13,17,21,15
4,2,5,10,8,9,13,17,21,15
4,7,5,10,8,9,13,17,21,15
4,3,5,10,8,9,13,17,21,15
4,7,3,2,8,9,13,17,21,15
4,3,5,2,7,9,13,17,21,15
4,2,8,3,7,9,13,17,21,15
4,2,5,3,7,9,13,17,21,15
4,2,1,5,7,9,13,17,21,15
4,3,8,5,7,9,13,17,21,15
4,2,8,5,7,9,13,17,21,15
4,2,3,5,7,9,13,17,21,15
4,3,2,5,7,9,13,17,21,15
4,3,2,8,7,9,13,17,21,15
4,3,5,8,7,9,13,17,21,15
4,2,5,8,7,9,13,17,21,15
4,2,3,8,7,9,13,17,21,15
4,3,2,7,9,12,13,17,21,15
4,7,9,8,11,12,13,17,21,15
4,3,7,8,11,12,13,17,21,15
4,2,7,8,11,12,13,17,21,15
4,3,5,8,11,12,13,17,21,15
4,7,5,8,11,12,13,17,21,15
4,2,5,8,11,12,13,17,21,15
4,7,3,8,11,12,13,17,21,15
4,2,3,8,11,12,13,17,21,15
4,7,2,8,11,12,13,17,21,15
4,2,5,10,11,12,13,17,21,15
4,3,8,10,11,12,13,17,21,15
4,7,8,10,11,12,13,17,21,15
4,2,8,10,11,12,13,17,21,15
4,7,5,10,11,12,13,17,21,15
4,3,5,10,11,12,13,17,21,15
4,3,2,8,11,12,13,17,21,15
4,3,8,7,9,12,13,17,21,15
4,2,8,7,9,12,13,17,21,15
4,3,5,7,9,12,13,17,21,15
4,2,5,7,9,12,13,17,21,15
4,2,3,7,9,12,13,17,21,15
4,3,2,8,9,12,13,17,21,15
4,3,7,8,9,12,13,17,21,15
4,2,7,8,9,12,13,17,21,15
4,3,5,8,9,12,13,17,21,15
4,7,5,8,9,12,13,17,21,15
4,2,5,8,9,12,13,17,21,15
4,7,3,8,9,12,13,17,21,15
4,2,3,8,9,12,13,17,21,15
4,7,2,8,9,12,13,17,21,15
4,3,8,2,7,9,13,17,21,15
4,3,7,2,8,9,12,17,21,15
4,3,5,2,8,9,12,17,21,15
4,7,5,2,8,9,12,17,21,15
4,7,2,3,8,9,12,17,21,15
4,2,7,3,8,9,12,17,21,15
4,7,5,3,8,9,12,17,21,15
4,2,5,3,8,9,12,17,21,15
4,2,1,5,8,9,12,17,21,15
4,3,7,5,8,9,12,17,21,15
4,2,7,5,8,9,12,17,21,15
4,7,3,5,8,9,12,17,21,15
4,2,3,5,8,9,12,17,21,15
4,7,2,5,8,9,12,17,21,15
4,3,2,5,8,9,12,17,21,15
4,3,2,7,8,9,12,17,21,15
4,3,5,7,8,9,12,17,21,15
4,2,5,7,8,9,12,17,21,15
4,2,3,7,8,9,12,17,21,15
4,2,5,10,8,9,12,17,21,15
4,7,5,10,8,9,12,17,21,15
4,3,5,10,8,9,12,17,21,15
4,7,3,2,8,9,12,17,21,15
4,3,5,2,7,9,12,17,21,15
4,2,8,3,7,9,12,17,21,15
4,2,5,3,7,9,12,17,21,15
4,2,1,5,7,9,12,17,21,15
4,3,8,5,7,9,12,17,21,15
4,2,8,5,7,9,12,17,21,15
4,2,3,5,7,9,12,17,21,15
4,3,2,5,7,9,12,17,21,15
4,3,2,8,7,9,12,17,21,15
4,3,5,8,7,9,12,17,21,15
4,2,5,8,7,9,12,17,21,15
4,2,3,8,7,9,12,17,21,15
4,7,3,2,8,11,12,17,21,15
4,3,8,5,10,11,12,17,21,15
4,7,8,5,10,11,12,17,21,15
4,2,8,5,10,11,12,17,21,15
4,3,7,5,10,11,12,17,21,15
4,2,7,5,10,11,12,17,21,15
4,7,3,5,10,11,12,17,21,15
4,2,3,5,10,11,12,17,21,15
4,7,2,5,10,11,12,17,21,15
4,3,2,5,10,11,12,17,21,15
4,3,2,8,10,11,12,17,21,15
4,7,9,8,10,11,12,17,21,15
4,3,7,8,10,11,12,17,21,15
4,2,7,8,10,11,12,17,21,15
4,3,5,8,10,11,12,17,21,15
4,7,5,8,10,11,12,17,21,15
4,2,5,8,10,11,12,17,21,15
4,7,3,8,10,11,12,17,21,15
4,2,3,8,10,11,12,17,21,15
4,7,2,8,10,11,12,17,21,15
4,2,1,5,10,11,12,17,21,15
4,3,7,2,8,11,12,17,21,15
4,3,5,2,8,11,12,17,21,15
4,7,5,2,8,11,12,17,21,15
4,7,2,3,8,11,12,17,21,15
4,2,7,3,8,11,12,17,21,15
4,7,5,3,8,11,12,17,21,15
4,2,5,3,8,11,12,17,21,15
4,2,1,5,8,11,12,17,21,15
4,3,7,5,8,11,12,17,21,15
4,2,7,5,8,11,12,17,21,15
4,7,3,5,8,11,12,17,21,15
4,2,3,5,8,11,12,17,21,15
4,7,2,5,8,11,12,17,21,15
4,3,2,5,8,11,12,17,21,15
4,3,2,7,8,11,12,17,21,15
4,3,5,7,8,11,12,17,21,15
4,2,5,7,8,11,12,17,21,15
4,2,3,7,8,11,12,17,21,15
4,2,7,9,8,11,12,17,21,15
4,3,7,9,8,11,12,17,21,15
4,2,5,10,8,11,12,17,21,15
4,7,5,10,8,11,12,17,21,15
4,3,5,10,8,11,12,17,21,15
4,3,2,7,9,13,12,17,21,15
4,3,8,7,9,13,12,17,21,15
4,2,8,7,9,13,12,17,21,15
4,3,5,7,9,13,12,17,21,15
4,2,5,7,9,13,12,17,21,15
4,2,3,7,9,13,12,17,21,15
4,3,2,8,9,13,12,17,21,15
4,3,7,8,9,13,12,17,21,15
4,2,7,8,9,13,12,17,21,15
4,3,5,8,9,13,12,17,21,15
4,7,5,8,9,13,12,17,21,15
4,2,5,8,9,13,12,17,21,15
4,7,3,8,9,13,12,17,21,15
4,2,3,8,9,13,12,17,21,15
4,7,2,8,9,13,12,17,21,15
4,2,1,0,5,10,14,20,21,15
4,7,9,8,11,10,18,20,21,15
4,3,7,8,11,10,18,20,21,15
4,2,7,8,11,10,18,20,21,15
4,3,5,8,11,10,18,20,21,15
4,7,5,8,11,10,18,20,21,15
4,2,5,8,11,10,18,20,21,15
4,7,3,8,11,10,18,20,21,15
4,2,3,8,11,10,18,20,21,15
4,7,2,8,11,10,18,20,21,15
4,7,9,12,11,10,18,20,21,15
4,3,2,8,11,10,18,20,21,15
4,3,7,2,8,10,18,20,21,15
4,3,5,2,8,10,18,20,21,15
4,7,5,2,8,10,18,20,21,15
4,7,2,3,8,10,18,20,21,15
4,2,7,3,8,10,18,20,21,15
4,7,5,3,8,10,18,20,21,15
4,2,5,3,8,10,18,20,21,15
4,2,1,5,8,10,18,20,21,15
4,3,7,5,8,10,18,20,21,15
4,2,7,5,8,10,18,20,21,15
4,7,3,5,8,10,18,20,21,15
4,2,3,5,8,10,18,20,21,15
4,7,2,5,8,10,18,20,21,15
4,3,2,5,8,10,18,20,21,15
4,3,2,7,8,10,18,20,21,15
4,3,5,7,8,10,18,20,21,15
4,2,5,7,8,10,18,20,21,15
4,2,3,7,8,10,18,20,21,15
4,2,7,9,8,10,18,20,21,15
4,3,7,9,8,10,18,20,21,15
4,7,3,2,8,10,18,20,21,15
4,3,2,1,5,10,18,20,21,15
4,7,2,1,5,10,18,20,21,15
4,7,3,2,5,10,18,20,21,15
4,3,8,2,5,10,18,20,21,15
4,7,8,2,5,10,18,20,21,15
4,3,7,2,5,10,18,20,21,15
4,7,2,3,5,10,18,20,21,15
4,7,8,3,5,10,18,20,21,15
4,2,8,3,5,10,18,20,21,15
4,2,7,3,5,10,18,20,21,15
4,3,2,7,5,10,18,20,21,15
4,3,8,7,5,10,18,20,21,15
4,2,8,7,5,10,18,20,21,15
4,2,3,7,5,10,18,20,21,15
4,3,2,8,5,10,18,20,21,15
4,7,9,8,5,10,18,20,21,15
4,3,7,8,5,10,18,20,21,15
4,2,7,8,5,10,18,20,21,15
4,7,3,8,5,10,18,20,21,15
4,2,3,8,5,10,18,20,21,15
4,7,2,8,5,10,18,20,21,15
4,2,1,5,10,14,18,20,21,15
4,3,8,5,10,14,18,20,21,15
4,7,8,5,10,14,18,20,21,15
4,2,8,5,10,14,18,20,21,15
4,3,7,5,10,14,18,20,21,15
4,2,7,5,10,14,18,20,21,15
4,7,3,5,10,14,18,20,21,15
4,2,3,5,10,14,18,20,21,15
4,7,2,5,10,14,18,20,21,15
4,3,2,5,10,14,18,20,21,15
4,3,2,8,10,14,18,20,21,15
4,7,9,8,10,14,18,20,21,15
4,3,7,8,10,14,18,20,21,15
4,2,7,8,10,14,18,20,21,15
4,3,5,8,10,14,18,20,21,15
4,7,5,8,10,14,18,20,21,15
4,2,5,8,10,14,18,20,21,15
4,7,3,8,10,14,18,20,21,15
4,2,3,8,10,14,18,20,21,15
4,7,2,8,10,14,18,20,21,15
4,2,8,11,10,14,18,20,21,15
4,7,8,11,10,14,18,20,21,15
4,3,8,11,10,14,18,20,21,15
4,2,1,0,5,10,18,20,21,15
4,7,9,8,11,10,14,20,21,15
4,3,7,8,11,10,14,20,21,15
4,2,7,8,11,10,14,20,21,15
4,3,5,8,11,10,14,20,21,15
4,7,5,8,11,10,14,20,21,15
4,2,5,8,11,10,14,20,21,15
4,7,3,8,11,10,14,20,21,15
4,2,3,8,11,10,14,20,21,15
4,7,2,8,11,10,14,20,21,15
4,7,9,12,11,10,14,20,21,15
4,3,2,8,11,10,14,20,21,15
4,3,7,2,8,10,14,20,21,15
4,3,5,2,8,10,14,20,21,15
4,7,5,2,8,10,14,20,21,15
4,7,2,3,8,10,14,20,21,15
4,2,7,3,8,10,14,20,21,15
4,7,5,3,8,10,14,20,21,15
4,2,5,3,8,10,14,20,21,15
4,2,1,5,8,10,14,20,21,15
4,3,7,5,8,10,14,20,21,15
4,2,7,5,8,10,14,20,21,15
4,7,3,5,8,10,14,20,21,15
4,2,3,5,8,10,14,20,21,15
4,7,2,5,8,10,14,20,21,15
4,3,2,5,8,10,14,20,21,15
4,3,2,7,8,10,14,20,21,15
4,3,5,7,8,10,14,20,21,15
4,2,5,7,8,10,14,20,21,15
4,2,3,7,8,10,14,20,21,15
4,2,7,9,8,10,14,20,21,15
4,3,7,9,8,10,14,20,21,15
4,7,3,2,8,10,14,20,21,15
4,3,2,1,5,10,14,20,21,15
4,7,2,1,5,10,14,20,21,15
4,7,3,2,5,10,14,20,21,15
4,3,8,2,5,10,14,20,21,15
4,7,8,2,5,10,14,20,21,15
4,3,7,2,5,10,14,20,21,15
4,7,2,3,5,10,14,20,21,15
4,7,8,3,5,10,14,20,21,15
4,2,8,3,5,10,14,20,21,15
4,2,7,3,5,10,14,20,21,15
4,3,2,7,5,10,14,20,21,15
4,3,8,7,5,10,14,20,21,15
4,2,8,7,5,10,14,20,21,15
4,2,3,7,5,10,14,20,21,15
4,3,2,8,5,10,14,20,21,15
4,7,9,8,5,10,14,20,21,15
4,3,7,8,5,10,14,20,21,15
4,2,7,8,5,10,14,20,21,15
4,7,3,8,5,10,14,20,21,15
4,2,3,8,5,10,14,20,21,15
4,7,2,8,5,10,14,20,21,15
4,2,1,5,10,18,14,20,21,15
4,3,8,5,10,18,14,20,21,15
4,7,8,5,10,18,14,20,21,15
4,2,8,5,10,18,14,20,21,15
4,3,7,5,10,18,14,20,21,15
4,2,7,5,10,18,14,20,21,15
4,7,3,5,10,18,14,20,21,15
4,2,3,5,10,18,14,20,21,15
4,7,2,5,10,18,14,20,21,15
4,3,2,5,10,18,14,20,21,15
4,3,2,8,10,18,14,20,21,15
4,7,9,8,10,18,14,20,21,15
4,3,7,8,10,18,14,20,21,15
4,2,7,8,10,18,14,20,21,15
4,3,5,8,10,18,14,20,21,15
4,7,5,8,10,18,14,20,21,15
4,2,5,8,10,18,14,20,21,15
4,7,3,8,10,18,14,20,21,15
4,2,3,8,10,18,14,20,21,15
4,7,2,8,10,18,14,20,21,15
4,2,8,11,10,18,14,20,21,15
4,7,8,11,10,18,14,20,21,15
4,3,8,11,10,18,14,20,21,15
4,3,8,2,7,9,12,22,21,15
4,3,8,9,13,17,23,22,21,15
4,7,8,9,13,17,23,22,21,15
4,2,8,9,13,17,23,22,21,15
4,3,7,9,13,17,23,22,21,15
4,7,9,12,13,17,23,22,21,15
4,2,7,9,13,17,23,22,21,15
4,3,8,9,12,17,23,22,21,15
4,7,8,9,12,17,23,22,21,15
4,2,8,9,12,17,23,22,21,15
4,3,7,9,12,17,23,22,21,15
4,2,8,11,12,17,23,22,21,15
4,7,8,11,12,17,23,22,21,15
4,3,8,11,12,17,23,22,21,15
4,7,9,13,12,17,23,22,21,15
4,2,7,9,12,17,23,22,21,15
4,3,8,9,13,12,17,22,21,15
4,7,8,9,13,12,17,22,21,15
4,2,8,9,13,12,17,22,21,15
4,3,7,9,13,12,17,22,21,15
4,2,7,9,13,12,17,22,21,15
4,7,9,8,11,12,17,22,21,15
4,3,7,8,11,12,17,22,21,15
4,2,7,8,11,12,17,22,21,15
4,3,5,8,11,12,17,22,21,15
4,7,5,8,11,12,17,22,21,15
4,2,5,8,11,12,17,22,21,15
4,7,3,8,11,12,17,22,21,15
4,2,3,8,11,12,17,22,21,15
4,7,2,8,11,12,17,22,21,15
4,2,5,10,11,12,17,22,21,15
4,3,8,10,11,12,17,22,21,15
4,7,8,10,11,12,17,22,21,15
4,2,8,10,11,12,17,22,21,15
4,7,5,10,11,12,17,22,21,15
4,3,5,10,11,12,17,22,21,15
4,3,2,8,11,12,17,22,21,15
4,3,8,7,9,12,17,22,21,15
4,2,8,7,9,12,17,22,21,15
4,3,5,7,9,12,17,22,21,15
4,2,5,7,9,12,17,22,21,15
4,2,3,7,9,12,17,22,21,15
4,3,2,8,9,12,17,22,21,15
4,3,7,8,9,12,17,22,21,15
4,2,7,8,9,12,17,22,21,15
4,3,5,8,9,12,17,22,21,15
4,7,5,8,9,12,17,22,21,15
4,2,5,8,9,12,17,22,21,15
4,7,3,8,9,12,17,22,21,15
4,2,3,8,9,12,17,22,21,15
4,7,2,8,9,12,17,22,21,15
4,3,2,7,9,13,17,22,21,15
4,3,8,9,12,13,17,22,21,15
4,7,8,9,12,13,17,22,21,15
4,2,8,9,12,13,17,22,21,15
4,3,7,9,12,13,17,22,21,15
4,2,8,11,12,13,17,22,21,15
4,7,8,11,12,13,17,22,21,15
4,3,8,11,12,13,17,22,21,15
4,2,7,9,12,13,17,22,21,15
4,3,8,7,9,13,17,22,21,15
4,2,8,7,9,13,17,22,21,15
4,3,5,7,9,13,17,22,21,15
4,2,5,7,9,13,17,22,21,15
4,2,3,7,9,13,17,22,21,15
4,3,2,8,9,13,17,22,21,15
4,3,7,8,9,13,17,22,21,15
4,2,7,8,9,13,17,22,21,15
4,3,5,8,9,13,17,22,21,15
4,7,5,8,9,13,17,22,21,15
4,2,5,8,9,13,17,22,21,15
4,7,3,8,9,13,17,22,21,15
4,2,3,8,9,13,17,22,21,15
4,7,2,8,9,13,17,22,21,15
4,3,2,7,9,12,17,22,21,15
4,3,7,2,8,9,12,22,21,15
4,3,5,2,8,9,12,22,21,15
4,7,5,2,8,9,12,22,21,15
4,7,2,3,8,9,12,22,21,15
4,2,7,3,8,9,12,22,21,15
4,7,5,3,8,9,12,22,21,15
4,2,5,3,8,9,12,22,21,15
4,2,1,5,8,9,12,22,21,15
4,3,7,5,8,9,12,22,21,15
4,2,7,5,8,9,12,22,21,15
4,7,3,5,8,9,12,22,21,15
4,2,3,5,8,9,12,22,21,15
4,7,2,5,8,9,12,22,21,15
4,3,2,5,8,9,12,22,21,15
4,3,2,7,8,9,12,22,21,15
4,3,5,7,8,9,12,22,21,15
4,2,5,7,8,9,12,22,21,15
4,2,3,7,8,9,12,22,21,15
4,2,5,10,8,9,12,22,21,15
4,7,5,10,8,9,12,22,21,15
4,3,5,10,8,9,12,22,21,15
4,7,3,2,8,9,12,22,21,15
4,3,5,2,7,9,12,22,21,15
4,2,8,3,7,9,12,22,21,15
4,2,5,3,7,9,12,22,21,15
4,2,1,5,7,9,12,22,21,15
4,3,8,5,7,9,12,22,21,15
4,2,8,5,7,9,12,22,21,15
4,2,3,5,7,9,12,22,21,15
4,3,2,5,7,9,12,22,21,15
4,3,2,8,7,9,12,22,21,15
4,3,5,8,7,9,12,22,21,15
4,2,5,8,7,9,12,22,21,15
4,2,3,8,7,9,12,22,21,15
4,7,3,2,8,11,12,22,21,15
4,3,8,5,10,11,12,22,21,15
4,7,8,5,10,11,12,22,21,15
4,2,8,5,10,11,12,22,21,15
4,3,7,5,10,11,12,22,21,15
4,2,7,5,10,11,12,22,21,15
4,7,3,5,10,11,12,22,21,15
4,2,3,5,10,11,12,22,21,15
4,7,2,5,10,11,12,22,21,15
4,3,2,5,10,11,12,22,21,15
4,3,2,8,10,11,12,22,21,15
4,7,9,8,10,11,12,22,21,15
4,3,7,8,10,11,12,22,21,15
4,2,7,8,10,11,12,22,21,15
4,3,5,8,10,11,12,22,21,15
4,7,5,8,10,11,12,22,21,15
4,2,5,8,10,11,12,22,21,15
4,7,3,8,10,11,12,22,21,15
4,2,3,8,10,11,12,22,21,15
4,7,2,8,10,11,12,22,21,15
4,2,1,5,10,11,12,22,21,15
4,3,7,2,8,11,12,22,21,15
4,3,5,2,8,11,12,22,21,15
4,7,5,2,8,11,12,22,21,15
4,7,2,3,8,11,12,22,21,15
4,2,7,3,8,11,12,22,21,15
4,7,5,3,8,11,12,22,21,15
4,2,5,3,8,11,12,22,21,15
4,2,1,5,8,11,12,22,21,15
4,3,7,5,8,11,12,22,21,15
4,2,7,5,8,11,12,22,21,15
4,7,3,5,8,11,12,22,21,15
4,2,3,5,8,11,12,22,21,15
4,7,2,5,8,11,12,22,21,15
4,3,2,5,8,11,12,22,21,15
4,3,2,7,8,11,12,22,21,15
4,3,5,7,8,11,12,22,21,15
4,2,5,7,8,11,12,22,21,15
4,2,3,7,8,11,12,22,21,15
4,2,7,9,8,11,12,22,21,15
4,3,7,9,8,11,12,22,21,15
4,2,5,10,8,11,12,22,21,15
4,7,5,10,8,11,12,22,21,15
4,3,5,10,8,11,12,22,21,15
4,3,2,7,9,13,12,22,21,15
4,3,8,7,9,13,12,22,21,15
4,2,8,7,9,13,12,22,21,15
4,3,5,7,9,13,12,22,21,15
4,2,5,7,9,13,12,22,21,15
4,2,3,7,9,13,12,22,21,15
4,3,2,8,9,13,12,22,21,15
4,3,7,8,9,13,12,22,21,15
4,2,7,8,9,13,12,22,21,15
4,3,5,8,9,13,12,22,21,15
4,7,5,8,9,13,12,22,21,15
4,2,5,8,9,13,12,22,21,15
4,7,3,8,9,13,12,22,21,15
4,2,3,8,9,13,12,22,21,15
4,7,2,8,9,13,12,22,21,15
4,3,8,9,13,17,12,22,21,15
4,7,8,9,13,17,12,22,21,15
4,2,8,9,13,17,12,22,21,15
4,3,7,9,13,17,12,22,21,15
4,2,7,9,13,17,12,22,21,15
4,3,5,1,2,7,9,12,21,15
4,7,9,8,11,10,18,14,20,15
4,3,7,8,11,10,18,14,20,15
4,2,7,8,11,10,18,14,20,15
4,3,5,8,11,10,18,14,20,15
4,7,5,8,11,10,18,14,20,15
4,2,5,8,11,10,18,14,20,15
4,7,3,8,11,10,18,14,20,15
4,2,3,8,11,10,18,14,20,15
4,7,2,8,11,10,18,14,20,15
4,7,9,12,11,10,18,14,20,15
4,3,2,8,11,10,18,14,20,15
4,3,7,2,8,10,18,14,20,15
4,3,5,2,8,10,18,14,20,15
4,7,5,2,8,10,18,14,20,15
4,7,2,3,8,10,18,14,20,15
4,2,7,3,8,10,18,14,20,15
4,7,5,3,8,10,18,14,20,15
4,2,5,3,8,10,18,14,20,15
4,2,1,5,8,10,18,14,20,15
4,3,7,5,8,10,18,14,20,15
4,2,7,5,8,10,18,14,20,15
4,7,3,5,8,10,18,14,20,15
4,2,3,5,8,10,18,14,20,15
4,7,2,5,8,10,18,14,20,15
4,3,2,5,8,10,18,14,20,15
4,3,2,7,8,10,18,14,20,15
4,3,5,7,8,10,18,14,20,15
4,2,5,7,8,10,18,14,20,15
4,2,3,7,8,10,18,14,20,15
4,2,7,9,8,10,18,14,20,15
4,3,7,9,8,10,18,14,20,15
4,7,3,2,8,10,18,14,20,15
4,3,2,1,5,10,18,14,20,15
4,7,2,1,5,10,18,14,20,15
4,7,3,2,5,10,18,14,20,15
4,3,8,2,5,10,18,14,20,15
4,7,8,2,5,10,18,14,20,15
4,3,7,2,5,10,18,14,20,15
4,7,2,3,5,10,18,14,20,15
4,7,8,3,5,10,18,14,20,15
4,2,8,3,5,10,18,14,20,15
4,2,7,3,5,10,18,14,20,15
4,3,2,7,5,10,18,14,20,15
4,3,8,7,5,10,18,14,20,15
4,2,8,7,5,10,18,14,20,15
4,2,3,7,5,10,18,14,20,15
4,3,2,8,5,10,18,14,20,15
4,7,9,8,5,10,18,14,20,15
4,3,7,8,5,10,18,14,20,15
4,2,7,8,5,10,18,14,20,15
4,7,3,8,5,10,18,14,20,15
4,2,3,8,5,10,18,14,20,15
4,7,2,8,5,10,18,14,20,15
4,2,1,0,5,10,18,14,20,15
4,3,7,2,8,5,10,14,20,15
4,7,2,3,8,5,10,14,20,15
4,2,7,3,8,5,10,14,20,15
4,3,2,7,8,5,10,14,20,15
4,2,3,7,8,5,10,14,20,15
4,2,7,9,8,5,10,14,20,15
4,3,7,9,8,5,10,14,20,15
4,7,3,2,8,5,10,14,20,15
4,2,8,3,7,5,10,14,20,15
4,3,2,8,7,5,10,14,20,15
4,2,3,8,7,5,10,14,20,15
